"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","ChangePasswordControllerTest.cls","3","5","@isTest(seeAllData=true) should not be used in Apex unit tests because it opens up the existing database data for unexpected modification by tests","ApexUnit","ApexUnitTestShouldNotUseSeeAllDataTrue"
"1","","ForgotPasswordControllerTest.cls","3","5","@isTest(seeAllData=true) should not be used in Apex unit tests because it opens up the existing database data for unexpected modification by tests","ApexUnit","ApexUnitTestShouldNotUseSeeAllDataTrue"
"1","","HttpFormBuilder.cls","3","3","Variables that are final and static should be all capitals, 'Boundary' is not all capitals.","Style","VariableNamingConventions"
"2","","HttpFormBuilder.cls","3","8","Method names should not start with capital letters","Style","MethodNamingConventions"
"3","","HttpFormBuilder.cls","3","15","Method names should not start with capital letters","Style","MethodNamingConventions"
"4","","HttpFormBuilder.cls","3","35","Method names should not start with capital letters","Style","MethodNamingConventions"
"5","","HttpFormBuilder.cls","3","45","Method names should not start with capital letters","Style","MethodNamingConventions"
"6","","HttpFormBuilder.cls","3","77","Method names should not start with capital letters","Style","MethodNamingConventions"
"7","","HttpFormBuilder.cls","3","98","Variables that are final and static should be all capitals, 'Cr' is not all capitals.","Style","VariableNamingConventions"
"8","","HttpFormBuilder.cls","3","99","Variables that are final and static should be all capitals, 'CrLf' is not all capitals.","Style","VariableNamingConventions"
"9","","HttpFormBuilder.cls","3","100","Variables that are final and static should be all capitals, 'None' is not all capitals.","Style","VariableNamingConventions"
"1","","JWT.cls","3","1","This class has too many public methods and attributes","Complexity","ExcessivePublicCount"
"1","","JWTBearerFlow.cls","3","5","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'access_token' is not final.","Style","VariableNamingConventions"
"1","","MyProfilePageControllerTest.cls","3","7","@isTest(seeAllData=true) should not be used in Apex unit tests because it opens up the existing database data for unexpected modification by tests","ApexUnit","ApexUnitTestShouldNotUseSeeAllDataTrue"
"1","","SendMassEmail.cls","3","13","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"1","","SiteLoginController.cls","3","4","Avoid using global modifier","Style","AvoidGlobalModifier"
"1","","SiteLoginControllerTest.cls","3","4","Avoid using global modifier","Style","AvoidGlobalModifier"
"2","","SiteLoginControllerTest.cls","3","5","@isTest(seeAllData=true) should not be used in Apex unit tests because it opens up the existing database data for unexpected modification by tests","ApexUnit","ApexUnitTestShouldNotUseSeeAllDataTrue"
"1","","SiteRegisterController.cls","3","7","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'PORTAL_ACCOUNT_ID' is not final.","Style","VariableNamingConventions"
"2","","SiteRegisterController.cls","3","7","Variables should start with a lowercase character, 'PORTAL_ACCOUNT_ID' starts with uppercase character.","Style","VariableNamingConventions"
"1","","SiteRegisterControllerTest.cls","3","5","@isTest(seeAllData=true) should not be used in Apex unit tests because it opens up the existing database data for unexpected modification by tests","ApexUnit","ApexUnitTestShouldNotUseSeeAllDataTrue"
"1","","SubmitCaseController.cls","3","1","Apex classes should declare a sharing model if DML or SOQL is used","Security","ApexSharingViolations"
"2","","SubmitCaseController.cls","3","12","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"3","","SubmitCaseController.cls","3","22","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"4","","SubmitCaseController.cls","3","32","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"1","","Vision.cls","3","3","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'VISION_API' is not final.","Style","VariableNamingConventions"
"2","","Vision.cls","3","3","Variables should start with a lowercase character, 'VISION_API' starts with uppercase character.","Style","VariableNamingConventions"
"3","","Vision.cls","3","4","Variables should start with a lowercase character, 'PREDICT' starts with uppercase character.","Style","VariableNamingConventions"
"4","","Vision.cls","3","6","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'access_token' is not final.","Style","VariableNamingConventions"
"5","","Vision.cls","3","10","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'access_token' is not final.","Style","VariableNamingConventions"
"6","","Vision.cls","3","14","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'access_token' is not final.","Style","VariableNamingConventions"
"7","","Vision.cls","3","18","Avoid long parameter lists","Complexity","ExcessiveParameterList"
"8","","Vision.cls","3","18","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'access_token' is not final.","Style","VariableNamingConventions"
"9","","Vision.cls","3","44","Consider using named credentials for authenticated callouts","Security","ApexSuggestUsingNamedCred"
"10","","Vision.cls","3","60","Deeply nested if..else statements are hard to read","Complexity","AvoidDeeplyNestedIfStmts"
"1","","VisionController.cls","3","1","Apex classes should declare a sharing model if DML or SOQL is used","Security","ApexSharingViolations"
"2","","VisionController.cls","3","10","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'access_token' is not final.","Style","VariableNamingConventions"
"3","","VisionController.cls","3","22","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'access_token' is not final.","Style","VariableNamingConventions"
"4","","VisionController.cls","3","36","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'access_token' is not final.","Style","VariableNamingConventions"
"1","","myWeb2LeadExtension.cls","3","1","Apex classes should declare a sharing model if DML or SOQL is used","Security","ApexSharingViolations"
"2","","myWeb2LeadExtension.cls","3","1","Class names should begin with an uppercase character","Style","ClassNamingConventions"
